Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
23-12-2019,410.2,411.95,397.8,400,404.99,35751,1782,14478799,6617,18.51,14.15,-10.2
20-12-2019,412.75,416.55,406.2,408.75,409.21,17794,1765,7281420,4438,24.94,10.35,-4
19-12-2019,416.8,423.55,410,412.7,417.06,28047,1597,11697204,6545,23.34,13.55,-4.1
18-12-2019,398.95,424.4,398.15,417.65,416.02,89576,4748,37265403,19721,22.02,26.25,18.7
17-12-2019,402.95,403.2,393.35,394.25,398.11,6868,667,2734186,2196,31.97,9.85,-8.7
16-12-2019,398.55,410,393,398.7,397.58,22644,1422,9002730,5668,25.03,17,0.15
13-12-2019,378.6,404.8,377.25,398.9,392.19,31449,1266,12333963,8826,28.06,27.55,20.3
12-12-2019,385.1,385.1,375.35,377.15,378.25,15631,532,5912500,5698,36.45,9.75,-7.95
11-12-2019,389.8,390,379.2,385.75,383.44,22225,1168,8522013,5339,24.02,10.8,-4.05
10-12-2019,380,386.4,375.25,379.3,381.31,16753,630,6388045,3182,18.99,11.15,-0.7
09-12-2019,382,384.35,376.2,377.1,379.83,12076,723,4586797,4221,34.95,8.15,-4.9
06-12-2019,390,394.85,376.15,379.35,382.68,15634,741,5982852,8771,56.1,18.7,-10.65
05-12-2019,393.4,396.4,386.1,389.65,392.34,11969,550,4695911,3288,27.47,10.3,-3.75
04-12-2019,397.3,397.3,388.95,390.4,391.28,14467,1030,5660646,6164,42.61,8.35,-6.9
03-12-2019,404.6,405.35,395.25,397.3,398.54,11279,426,4495161,4338,38.46,10.1,-7.3
02-12-2019,412.35,415.4,400,402.7,407,17017,805,6925986,3024,17.77,15.4,-9.65
29-11-2019,398.65,420,396.5,408.6,410.62,54493,2736,22376080,12267,22.51,23.5,9.95
28-11-2019,400,404.1,395,396.15,399.29,25925,1537,10351577,6386,24.63,9.1,-3.85
27-11-2019,394,410.4,394,397.65,399.64,17989,860,7189041,11887,66.08,16.4,3.65
26-11-2019,413.05,415,401.6,402.6,409.14,11711,731,4791408,5991,51.16,13.4,-10.45
25-11-2019,411,417.3,409.95,410.95,412.99,12305,795,5081878,5481,44.54,7.35,-0.05
22-11-2019,416.5,419,407.6,409.85,412.48,28056,1252,11572488,11877,42.33,11.4,-6.65
21-11-2019,418,436.55,412.25,414.5,423.58,43001,1831,18214488,13476,31.34,24.3,-3.5
20-11-2019,415,418.05,405.25,406.4,409.02,16037,750,6559378,3247,20.25,12.8,-8.6
19-11-2019,406.3,423,404.25,415.45,415.75,30801,1358,12805364,9135,29.66,18.75,9.15
18-11-2019,405,409,400,403.9,403.49,21714,791,8761420,12144,55.93,9,-1.1
15-11-2019,400,407.25,379.8,397.95,396.09,31060,1310,12302677,5956,19.18,27.45,-2.05
14-11-2019,409.05,412.25,395,398.45,400.19,22559,1180,9027843,7521,33.34,17.25,-10.6
13-11-2019,421,424.45,406.25,408.4,415.87,19329,945,8038295,9516,49.23,18.2,-12.6
11-11-2019,407.15,426.25,407,419.05,418.44,28381,1424,11875860,7883,27.78,19.25,11.9
08-11-2019,415.5,422,405,407.05,413.2,18496,1360,7642484,8800,47.58,17,-8.45
07-11-2019,424,433.9,414.15,416.8,420.49,22886,1194,9623251,7222,31.56,19.75,-7.2
06-11-2019,425.1,435,416.05,418.2,426.77,33167,1161,14154692,11298,34.06,18.95,-6.9
05-11-2019,442,446.25,423,425.1,434.1,24246,1023,10525109,8146,33.6,23.25,-16.9
04-11-2019,461,469.9,435,441.6,454.21,38436,1390,17458072,14536,37.82,34.9,-19.4
01-11-2019,435.9,473.8,432,459.55,456.4,116746,3627,53283270,17626,15.1,41.8,23.65
31-10-2019,431,447.4,427.95,432.25,438.48,31115,1552,13643340,8123,26.11,19.45,1.25
30-10-2019,439.25,442,425,430.35,432.18,23843,1515,10304451,10456,43.85,17,-8.9
29-10-2019,398,449.2,392.25,434.55,432.46,99868,4513,43188705,19406,19.43,56.95,36.55
27-10-2019,393.7,400,392,394.35,395.35,5572,283,2202872,2398,43.04,8,0.65
25-10-2019,405,411,380,389.35,400.05,28123,1343,11250476,12086,42.98,31,-15.65
24-10-2019,405.55,419.75,402,406.3,409.46,19715,1443,8072601,5570,28.25,17.75,0.75
23-10-2019,422.4,422.4,399.9,403.2,407.4,24039,1534,9793398,7058,29.36,22.5,-19.2
22-10-2019,388,424,387,417,412.4,57189,2584,23584952,20091,35.13,37,29
18-10-2019,373,392,372.9,388.5,383.52,35338,1548,13552886,13028,36.87,19.1,15.5
17-10-2019,368,379.4,366.15,372.2,372.37,13853,809,5158440,4117,29.72,13.25,4.2
16-10-2019,391.9,394.9,359,364.95,373.34,22170,1466,8277010,8770,39.56,35.9,-26.95
15-10-2019,384.85,402.75,382.8,388.3,393.11,32302,1562,12698194,15453,47.84,19.95,3.45
14-10-2019,374.25,391.25,371.25,381.35,381.5,23191,1368,8847297,4699,20.26,20,7.1
11-10-2019,378,386.65,367.45,370.75,378.27,18686,1095,7068355,5208,27.87,19.2,-7.25
10-10-2019,374.05,383.9,368.45,374,376.55,11356,735,4276063,3915,34.48,15.45,-0.05
09-10-2019,383.5,383.5,370.45,373.1,374.24,19112,1166,7152545,6033,31.57,13.05,-10.4
07-10-2019,387,395,381.6,383.35,387.6,12337,1133,4781788,4353,35.28,13.4,-3.65
04-10-2019,398.65,401.2,374.35,380.7,387.2,20431,1091,7910885,6707,32.83,26.85,-17.95
03-10-2019,410,410,392.8,395,397.22,26520,878,10534237,14034,52.92,17.2,-15
01-10-2019,421,426.4,396.8,404.4,411.19,15362,1300,6316661,5762,37.51,29.6,-16.6
30-09-2019,435,439.85,400.55,415.95,414.53,42547,2406,17636855,12925,30.38,39.3,-19.05
27-09-2019,450,456.55,437.25,442.7,447.03,22668,1246,10133314,7992,35.26,19.3,-7.3
26-09-2019,440.05,456,439.65,448.35,448.28,48208,1627,21610534,17450,36.2,16.35,8.3
25-09-2019,442.4,451.5,430.85,439.45,441.14,37106,2033,16368774,7511,20.24,20.65,-2.95
24-09-2019,454.2,456,435.2,438.35,441.19,30190,1705,13319619,12347,40.9,20.8,-15.85
23-09-2019,439.6,463.2,436.6,450.85,451.15,66598,3571,30045535,18016,27.05,26.6,11.25
20-09-2019,412,441.4,402.75,436.6,422.75,69792,2771,29504332,14234,20.39,38.65,24.6
19-09-2019,427.55,428.35,404.15,408.9,413.35,21358,969,8828300,6906,32.33,24.2,-18.65
18-09-2019,432.4,438,420.05,426.75,428.1,18455,765,7900576,4590,24.87,17.95,-5.65
17-09-2019,445,450,426,428.05,438.25,38179,1343,16731843,10649,27.89,24,-16.95
16-09-2019,437,463.7,431.65,441.2,447.18,83304,3015,37252094,14844,17.82,32.05,4.2
13-09-2019,456,457,437.55,440.8,444.77,50417,2226,22423763,10031,19.9,19.45,-15.2
12-09-2019,461,477.4,443,447.25,459.61,87176,3171,40066729,19404,22.26,34.4,-13.75
11-09-2019,429.9,466.55,429,455.8,453.42,155419,6056,70470417,17867,11.5,37.55,25.9
09-09-2019,385,432.05,383.05,425.25,417.21,207683,7063,86647033,30162,14.52,49,40.25
06-09-2019,371.05,393.2,368.8,384.6,384.31,69675,3169,26776904,11586,16.63,24.4,13.55
05-09-2019,357.1,385,350.3,373.05,372.55,71344,3835,26579066,9709,13.61,34.7,15.95
04-09-2019,361.45,362,347.65,351.3,353.5,10930,972,3863808,2701,24.71,14.35,-10.15
03-09-2019,360.2,368.2,354,359.15,362.48,19113,1029,6928168,6085,31.84,14.2,-1.05
30-08-2019,365,375.6,357.3,359.7,366.07,13181,1015,4825175,4722,35.82,18.3,-5.3
29-08-2019,374.4,376.2,351.8,364.5,364.9,28626,2288,10445757,5748,20.08,24.4,-9.9
28-08-2019,381.5,387.1,372.35,375.85,379.85,28407,1098,10790411,12161,42.81,14.75,-5.65
27-08-2019,374.3,385.6,370.55,376.95,378.1,14171,803,5357988,3844,27.13,15.05,2.65
26-08-2019,362.15,379.25,358.3,372.1,369.89,41492,1388,15347497,11351,27.36,20.95,9.95
23-08-2019,335,365,317,356.85,342.04,57519,2278,19673647,11237,19.54,48,21.85
22-08-2019,406.9,406.9,329.55,336.85,359.79,57465,2053,20675503,31765,55.28,77.35,-70.05
21-08-2019,402.3,405.5,393.4,401.5,401.25,7299,468,2928691,2836,38.85,12.1,-0.8
20-08-2019,399.5,404.8,391,401.15,398.72,11731,516,4677411,4349,37.07,13.8,1.65
19-08-2019,399.15,404.4,396,399.45,400.31,7669,335,3069954,2692,35.1,8.4,0.3
16-08-2019,397.05,400.8,392.4,394.45,396.14,11661,553,4619428,5379,46.13,8.4,-2.6
14-08-2019,399.6,403,396.3,400.25,400.04,8366,263,3346766,4138,49.46,6.7,0.65
13-08-2019,395.1,420,395,397.8,406.27,23619,901,9595782,6782,28.71,25,2.7
09-08-2019,411.5,414.95,400,403.35,400.43,916493,1938,366993423,868895,94.81,14.95,-8.15
08-08-2019,402.95,407.2,391.5,402.2,398.84,20279,1001,8088138,4949,24.4,15.7,-0.75
07-08-2019,386,410.95,385.7,393,400.26,23022,1064,9214728,6537,28.39,25.25,7
06-08-2019,385,393,367.65,385.15,383.53,28500,1083,10930486,9663,33.91,25.35,0.15
05-08-2019,402.3,403,385,390.25,391.13,15337,1492,5998750,5957,38.84,18,-12.05
02-08-2019,419,419,400,406.3,405.37,15982,702,6478675,4034,25.24,19,-12.7
01-08-2019,414,418,405.95,413.3,412.06,10400,624,4285446,3187,30.64,12.05,-0.7
31-07-2019,411.75,414.6,406,410.85,410.3,10538,440,4323790,3656,34.69,8.6,-0.9
30-07-2019,410.05,425.5,410.05,412.95,417,15959,893,6654973,8936,55.99,15.45,2.9
