Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
04-08-2017,1012.95,1029,1011.2,1025.75,1021.91,34155,1736,34903455,11626,34.04,17.8,12.8
03-08-2017,997.05,1021.45,990,1009.1,1011.32,44863,2101,45370798,14717,32.8,31.45,12.05
02-08-2017,999.95,1004.3,991.55,997.75,996.92,13518,576,13476423,5834,43.16,12.75,-2.2
01-08-2017,1005,1014.8,993,996.15,1003.12,27616,1461,27702068,8846,32.03,21.8,-8.85
31-07-2017,989,1004,983.8,999.4,998.28,36838,1502,36774696,14235,38.64,20.2,10.4
28-07-2017,980,1002.5,976,988.05,990.05,30927,1693,30619385,9356,30.25,26.5,8.05
27-07-2017,978,990.5,975.1,978.9,982.42,12451,762,12232064,4962,39.85,15.4,0.9
26-07-2017,987.95,992.05,977.85,979.6,985.46,11263,613,11099201,4879,43.32,14.2,-8.35
25-07-2017,986,989.95,981.3,983.65,985.87,9876,568,9736409,5102,51.66,8.65,-2.35
24-07-2017,984.95,993.65,978.55,984.05,987.54,10015,469,9890183,4619,46.12,15.1,-0.9
21-07-2017,989.3,989.3,973.35,984.3,982.7,12906,759,12682707,3992,30.93,15.95,-5
20-07-2017,979.25,987.05,975,984.25,981.34,11946,596,11723033,4719,39.5,12.05,5
19-07-2017,981.1,985,974.2,976.8,978.76,14792,620,14477783,5776,39.05,10.8,-4.3
18-07-2017,981,986,966.65,976.9,978.42,10271,680,10049325,3513,34.2,19.35,-4.1
17-07-2017,990,998.75,982.6,986.75,988.83,13496,816,13345279,4875,36.12,16.15,-3.25
14-07-2017,992,1000,984.55,987.7,989.91,18818,1090,18628162,6995,37.17,15.45,-4.3
13-07-2017,1014.95,1014.95,992.7,994.9,1001,25422,1128,25447374,8332,32.77,22.25,-20.05
12-07-2017,997,1016,988.3,1001.75,1006.89,117869,4384,118680667,29942,25.4,27.7,4.75
11-07-2017,981.2,997.85,974.4,987.9,986.58,27660,1762,27288925,8394,30.35,23.45,6.7
10-07-2017,976,987,973.05,982.25,980.76,32634,1839,32005967,24009,73.57,13.95,6.25
07-07-2017,977.15,982.8,973.05,974.8,975.9,12830,723,12520764,5386,41.98,9.75,-2.35
06-07-2017,982.5,985,979,981.3,981.36,12132,803,11905908,5695,46.94,6,-1.2
05-07-2017,999,999,981,983.35,989.17,19589,1036,19376781,6477,33.06,18,-15.65
04-07-2017,992.9,997.95,982.25,985.05,987.57,16249,833,16046960,9241,56.87,15.7,-7.85
03-07-2017,990,998,983.45,992.5,989.44,12638,812,12504586,5491,43.45,14.55,2.5
30-06-2017,972.5,992,968,988.7,984.13,19715,960,19402184,10546,53.49,24,16.2
29-06-2017,971.95,984,968.4,981.5,975.92,14273,813,13929371,4235,29.67,15.6,9.55
28-06-2017,962.95,969.25,953.5,966.9,962.98,16997,1050,16367834,6095,35.86,15.75,3.95
27-06-2017,996,996,951.05,964.4,960,26129,1460,25083786,7411,28.36,44.95,-31.6
23-06-2017,988.15,993.65,971.05,980.4,978.56,20070,1231,19639720,8193,40.82,22.6,-7.75
22-06-2017,1000,1006.3,985,988.15,996.98,34703,1581,34598029,13822,39.83,21.3,-11.85
21-06-2017,980.05,997.65,977,994.2,989.54,26464,1186,26187200,12201,46.1,20.65,14.15
20-06-2017,984.2,993,978,983.6,984.91,22124,1263,21790239,8937,40.4,15,-0.6
19-06-2017,982.9,988,976.15,984.5,982.49,21152,1216,20781671,8852,41.85,11.85,1.6
16-06-2017,969.95,995.95,968,980.85,987.22,42851,1843,42303351,19142,44.67,27.95,10.9
15-06-2017,967.95,974.95,965,968.15,968.43,6895,504,6677311,2401,34.82,9.95,0.2
14-06-2017,964.95,972.95,962.65,967.9,967.23,8520,522,8240783,3045,35.74,10.3,2.95
13-06-2017,974,975,959,963.55,968.11,6146,465,5949980,2296,37.36,16,-10.45
12-06-2017,971.2,975,960,962.65,966.94,9133,632,8831036,4287,46.94,15,-8.55
09-06-2017,986.05,987.95,968,974.85,977.02,18481,821,18056215,10598,57.35,19.95,-11.2
08-06-2017,992.9,999,983.45,987.5,990.76,8823,562,8741479,2675,30.32,15.55,-5.4
07-06-2017,1001.2,1003,984.45,990.15,990.98,14934,684,14799243,6796,45.51,18.55,-11.05
06-06-2017,985,998,977,993.75,988.66,14332,879,14169491,2920,20.37,21,8.75
05-06-2017,970,1004,970,983.65,992.49,23517,1233,23340394,7059,30.02,34,13.65
02-06-2017,967.1,995,965,986.5,984.84,33830,1726,33317142,11828,34.96,30,19.4
01-06-2017,966,968,955.5,960.35,960.75,9620,1231,9242418,3859,40.11,12.5,-5.65
31-05-2017,982.1,989,965.15,968.65,974.24,12989,1223,12654459,4432,34.12,23.85,-13.45
30-05-2017,966,983.5,955.5,979.35,968.36,17267,1289,16720681,3867,22.4,28,13.35
29-05-2017,983,988,965,970.65,975.49,29584,1920,28859013,10900,36.84,23,-12.35
26-05-2017,961.95,983.15,948.25,956.75,974.06,47384,1140,46154981,35274,74.44,34.9,-5.2
25-05-2017,939.95,969.05,937,961.15,951.97,16630,1101,15831340,4471,26.89,32.05,21.2
24-05-2017,954.95,957.95,928,934.9,940.97,16720,1193,15732965,5323,31.84,29.95,-20.05
23-05-2017,972.1,973.2,936,951.95,950.34,16046,1487,15249185,4643,28.94,37.2,-20.15
22-05-2017,983.9,989.25,971.3,977,977.9,11602,743,11345593,4792,41.3,17.95,-6.9
19-05-2017,982.95,993.2,965.5,981.65,978.95,16876,1106,16520794,4768,28.25,27.7,-1.3
18-05-2017,1002.05,1008,975,979.1,989.21,23457,1229,23203890,10355,44.14,33,-22.95
17-05-2017,992.75,1018,990.5,1006.8,1009.23,21670,1193,21870121,7160,33.04,27.5,14.05
16-05-2017,993.7,995,983.8,992.3,989.22,4187,383,4141875,1596,38.12,11.2,-1.4
15-05-2017,985,997,981,993.7,991.78,4797,418,4757564,2020,42.11,16,8.7
12-05-2017,1004.95,1004.95,977.2,982.75,987.5,16573,975,16365771,8461,51.05,27.75,-22.2
11-05-2017,1013.8,1013.8,998,1001.7,1004.52,12399,627,12455000,4740,38.23,15.8,-12.1
10-05-2017,994,1013.9,994,1010,1006.55,13654,811,13743479,5957,43.63,19.9,16
09-05-2017,993.9,1004.95,990.05,993.75,996.57,9781,672,9747446,3284,33.58,14.9,-0.15
08-05-2017,994.95,1008.3,985,993.9,995.89,13630,1570,13573961,5098,37.4,23.3,-1.05
05-05-2017,1005,1008.35,987.2,994.3,997.14,12194,972,12159104,3433,28.15,21.15,-10.7
04-05-2017,1004.95,1012.95,992.05,1001.85,1002.87,15218,850,15261612,4269,28.05,20.9,-3.1
03-05-2017,1008.05,1020,997.9,1001.45,1003.96,21433,948,21517903,9614,44.86,22.1,-6.6
02-05-2017,1031.6,1041.95,1015,1018.05,1024.55,16838,1304,17251304,3994,23.72,26.95,-13.55
28-04-2017,1018,1053.2,1018,1032.3,1037.67,47648,3112,49443076,14928,31.33,35.2,14.3
27-04-2017,1007.05,1021,1003,1017.95,1012.9,9536,666,9659006,3635,38.12,18,10.9
26-04-2017,1015,1020,990.4,1008.35,1005.48,23839,1501,23969669,6671,27.98,29.6,-6.65
25-04-2017,1007,1021,1004.8,1013.75,1014.17,10279,773,10424632,2957,28.77,16.2,6.75
24-04-2017,1010,1020,1000,1005.6,1008.18,17567,1086,17710728,5587,31.8,20,-4.4
21-04-2017,1024.95,1027.95,980,1000.65,1006.06,19970,1330,20090945,6112,30.61,47.95,-24.3
20-04-2017,1010,1036,1010,1018.55,1023.85,40388,2447,41351269,11791,29.19,26,8.55
19-04-2017,977,1004,952.7,1000.05,990.74,39545,2615,39178887,10522,26.61,51.3,23.05
18-04-2017,978.9,994.3,966.2,973.9,982.6,25271,1546,24831366,8097,32.04,28.1,-5
17-04-2017,950,980.9,950,978.9,973.46,36398,2215,35431867,11089,30.47,30.9,28.9
13-04-2017,949,957,946,951,950.12,14635,1009,13904976,6781,46.33,11,2
12-04-2017,935.05,963.7,935,947.6,947.74,48133,2817,45617483,14277,29.66,28.7,12.55
11-04-2017,903,954,898,938,935.79,85093,4646,79628815,23215,27.28,56,35
10-04-2017,889,902,884.25,897.55,896.95,25737,1413,23084809,10105,39.26,17.75,8.55
07-04-2017,893,894.5,884,886,888,8266,1039,7340189,3699,44.75,10.5,-7
06-04-2017,885,900.55,879.9,893.9,888.72,16875,2135,14997170,6487,38.44,20.65,8.9
05-04-2017,896,896,884.15,885.45,888.91,12752,1026,11335431,6008,47.11,11.85,-10.55
03-04-2017,895,902,891,895.15,898.46,12098,841,10869623,5825,48.15,11,0.15
31-03-2017,892.05,897,888,894.95,893.77,10789,864,9642837,2752,25.51,9,2.9
30-03-2017,897,900.95,892.25,897.15,896.71,12208,1121,10947034,4486,36.75,8.7,0.15
29-03-2017,901,901,891.5,897.05,895.27,11725,1055,10497081,4548,38.79,9.5,-3.95
28-03-2017,896.8,900,890.05,898.35,896.51,14188,1366,12719618,2906,20.48,9.95,1.55
27-03-2017,888,899,882.3,893.05,890.22,9934,838,8843450,2335,23.51,16.7,5.05
24-03-2017,889,900.85,871.3,887.15,885.45,22133,1977,19597747,6852,30.96,29.55,-1.85
23-03-2017,893,903.95,885,889.5,892.98,20657,1737,18446273,6231,30.16,18.95,-3.5
22-03-2017,892.05,904,889,891.55,895.41,11172,1416,10003522,3369,30.16,15,-0.5
21-03-2017,884.95,902,884.95,896.65,894.73,35164,2753,31462216,11134,31.66,17.05,11.7
20-03-2017,859,893.75,855.5,882.15,879.48,38678,3251,34016551,11810,30.53,38.25,23.15
17-03-2017,847.1,864.3,847.1,858.8,857.52,12197,1274,10459198,3705,30.38,17.2,11.7
16-03-2017,850,856,845,847.6,849.45,24128,1399,20495609,10935,45.32,11,-2.4
15-03-2017,856,857,848.5,849.3,851.12,10654,1045,9067856,5243,49.21,8.5,-6.7
14-03-2017,864.95,865.5,852.5,856.6,858.67,10332,1195,8871766,3815,36.92,13,-8.35
10-03-2017,855,859.15,850,852.45,854.23,11012,910,9406781,5584,50.71,9.15,-2.55
09-03-2017,854,862.5,850,852,856.83,8662,871,7421865,2583,29.82,12.5,-2
08-03-2017,856,864.8,849.1,853.85,855.93,10991,1065,9407510,3779,34.38,15.7,-2.15
07-03-2017,862,866.4,851.2,855.9,857.46,30264,2554,25950033,8867,29.3,15.2,-6.1
06-03-2017,872.95,873.1,851,853.45,855.98,20955,2236,17936986,8576,40.93,22.1,-19.5
03-03-2017,877.95,877.95,861.25,866.5,868.47,11140,1409,9674708,3821,34.3,16.7,-11.45
02-03-2017,875.05,888,868.05,878.2,876.52,21119,1847,18511203,6021,28.51,19.95,3.15
01-03-2017,877,880.55,870.1,873.5,876.42,11048,1340,9682664,3098,28.04,10.45,-3.5
28-02-2017,877.05,886.9,870.75,874.7,877.9,17762,1760,15593324,4855,27.33,16.15,-2.35
27-02-2017,865,879.95,857,877.05,871.71,23665,2104,20628954,7881,33.3,22.95,12.05
23-02-2017,877,877,862,863.7,864.24,31695,3196,27392179,19616,61.89,15,-13.3
22-02-2017,882,884,871.15,874.5,876.16,15584,1856,13654012,8447,54.2,12.85,-7.5
21-02-2017,877,884.75,876,881.9,881.29,24864,2545,21912421,9494,38.18,8.75,4.9
